,"Jan 21 - 31, 24","Feb 24","Mar 24","Apr 24","May 24","Jun 24","Jul 24","Aug 24","Sep 24","Oct 24","Nov 24","Dec 24","TOTAL"
,"Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price"
"FCC-W ( Canister Washer 2 3/8 x 1/2 (without lip))",1500,1905.00,0.3%,1.27,7000,8770.00,0.7%,1.25,3500,4845.00,0.3%,1.38,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1070,1396.70,0.1%,1.31,7000,8820.00,0.7%,1.26,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2000,2420.00,0.2%,1.21,0.00,0.00,0.0%,0.00,5000,6350.00,0.4%,1.27,27070.00,34506.70,0.2%,1.27
"FGP-CARB 1/1 G (24x24x12, V-Bank Style Extended Surface Carbon (500g) Filter w/DSG)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,101,25048.16,1.5%,248.00,195,49670.28,2.9%,254.72,660,142685.56,9.0%,216.19,2,775.18,0.1%,387.59,108,27308.16,2.2%,252.85,96,27803.52,3.0%,289.62,105,29982.90,3.1%,285.55,104,26151.36,2.6%,251.46,0.00,0.00,0.0%,0.00,6,1785.30,0.1%,297.55,1377.00,331210.42,2.2%,240.53
"FGP-CARB 1/2 G (12x24x12, V-Bank Style Extended Surface Carbon (500g) Filter w/DSG)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,93,16156.89,0.9%,173.73,44,6009.88,0.4%,136.59,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,12,2738.28,0.3%,228.19,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,149.00,24905.05,0.2%,167.15
"FGP-CARBM14 1/1 G (24x24x12, V-Bank Style Extended Surface Carbon MERV14 Filter w...",0.00,0.00,0.0%,0.00,32,6291.24,0.5%,196.60,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,22,4589.42,0.4%,208.61,0.00,0.00,0.0%,0.00,72,20852.64,2.2%,289.62,3,1023.60,0.1%,341.20,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,129.00,32756.90,0.2%,253.93
"FGP-CARBM14 1/2 G (12x24x12, V-Bank Style Extended Surface Carbon MERV14 Filter w...",0.00,0.00,0.0%,0.00,8,1305.60,0.1%,163.20,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,52,7975.24,0.6%,153.37,0.00,0.00,0.0%,0.00,24,5476.56,0.6%,228.19,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,84.00,14757.40,0.1%,175.68
"FGP-CARBM14 5/6 G (20x24x12, V-Bank Style Extended Surface Carbon MERV14 Filter w...",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,50,9614.00,0.8%,192.28,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,50.00,9614.00,0.1%,192.28
"FGP-CARBW-M14 1/1G (MERV 14, 24x24x12, V-Bank Style Extended Surface Carbon (500g...",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,112,22044.96,1.7%,196.83,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,112.00,22044.96,0.1%,196.83
"FHT-F8-12244W (EFS High Temp. Air Filter, F8, 12"" x 24"" x 4"" (305x610x120mm) with...",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,132.28,0.0%,132.28,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1.00,132.28,0.0%,132.28
"FHT-F8-24244W (F8/MERV 14, High Temperature Air Filter,  24"" x 24"" x 4""; Glass Fi...",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,6,867.60,0.1%,144.60,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,6.00,867.60,0.0%,144.60
"FL-FA191280-S-WB (26"" Cylindrical, MERV 15 Nanofiber, GT Inlet Filter)",140,13791.40,2.5%,98.51,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,140.00,13791.40,0.1%,98.51
"FM80GT-24244 (24x24x4 Disposable Coalescer Filter Pad  with Tackifier)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,216,1712.88,0.1%,7.93,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,216.00,1712.88,0.0%,7.93
"FP-4VH13HEPA-2323115-WGH (EFS H13 (99.99%) High Volume HEPA Filter, V4-bank style...",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,9,2459.70,0.1%,273.30,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,9,2459.70,0.3%,273.30,0.00,0.00,0.0%,0.00,18.00,4919.40,0.0%,273.30
"FP-H13HEPA-1123115-WG (EFS H13 (99.99%) High Volume HEPA Filter, 11-3/8"" x 23-3/8...",16,2579.20,0.5%,161.20,4,832.12,0.1%,208.03,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,5,727.85,0.0%,145.57,9,1527.41,0.1%,169.71,16,3271.18,0.3%,204.45,0.00,0.00,0.0%,0.00,16,3174.40,0.3%,198.40,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,821.07,0.1%,273.69,69.00,12933.23,0.1%,187.44
"FP-H13HEPA-1224115-WG (EFS H13 (99.99%) High Volume HEPA Filter, 12"" x 24"" x 11.5...",0.00,0.00,0.0%,0.00,6,1496.37,0.1%,249.40,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,7,1534.56,0.1%,219.22,95,23206.92,1.9%,244.28,0.00,0.00,0.0%,0.00,7,1258.90,0.1%,179.84,13,4782.87,0.5%,367.91,6,1078.98,0.1%,179.83,1,202.23,0.0%,202.23,18,4894.92,0.3%,271.94,153.00,38455.75,0.3%,251.34
"FP-H13HEPA-2323115-WG (EFS H13 (99.99%) High Volume HEPA Filter, 23-3/8"" x 23-3/8...",25,6784.83,1.2%,271.39,16,3932.52,0.3%,245.78,15,4354.80,0.3%,290.32,3,578.10,0.0%,192.70,31,8476.00,0.5%,273.42,58,13512.51,1.1%,232.97,70,20363.33,1.6%,290.90,27,5744.07,0.6%,212.74,95,21992.16,2.2%,231.50,1,172.00,0.0%,172.00,0.00,0.00,0.0%,0.00,9,2612.88,0.2%,290.32,350.00,88523.20,0.6%,252.92
"FP-H13HEPA-2424115-WG (EFS H13 (99.99%) High Volume HEPA Filter, 24"" x 24"" x 11.5...",21,5413.80,1.0%,257.80,81,19640.17,1.5%,242.47,381,111168.87,6.5%,291.78,33,6210.60,0.4%,188.20,44,11798.05,0.7%,268.14,404,108602.55,8.7%,268.82,3,855.00,0.1%,285.00,92,17680.40,1.9%,192.18,90,35767.22,3.7%,397.41,15,4126.12,0.4%,275.07,18,764.89,0.1%,42.49,96,22955.90,1.6%,239.12,1278.00,344983.57,2.3%,269.94
"GDS12201 (12x20x1 Glass Double Strut Disposable)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,12,44.88,0.0%,3.74,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,12.00,44.88,0.0%,3.74
"HVP10101 (10x10x1 MERV10 High Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,12,58.44,0.0%,4.87,0.00,0.00,0.0%,0.00,48,241.44,0.0%,5.03,48,241.44,0.0%,5.03,0.00,0.00,0.0%,0.00,36,181.08,0.0%,5.03,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,144.00,722.40,0.0%,5.02
"HVP10201 (10x20x1 MERV10 High Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,24,133.88,0.0%,5.58,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,24,126.72,0.0%,5.28,0.00,0.00,0.0%,0.00,24,126.72,0.0%,5.28,24,126.72,0.0%,5.28,0.00,0.00,0.0%,0.00,48,246.72,0.0%,5.14,144.00,760.76,0.0%,5.28
"HVP10202 (10x20x2 MERV10 High Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,48,288.96,0.0%,6.02,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,48.00,288.96,0.0%,6.02
"HVP10202XM (10x20x2 High Capacity Pleat w/Heavy Expanded Metal)",4,24.48,0.0%,6.12,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4,24.48,0.0%,6.12,0.00,0.00,0.0%,0.00,4,25.12,0.0%,6.28,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4,25.12,0.0%,6.28,16.00,99.20,0.0%,6.20
"HVP10241 (10x24x1 MERV10 High Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,27.45,0.0%,9.15,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3.00,27.45,0.0%,9.15
"HVP10252 (10x25x2 MERV10 High Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,9,221.13,0.0%,24.57,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,9.00,221.13,0.0%,24.57
"HVP10252XM (10x25x2 High Capacity Pleat w/Heavy Expanded Metal)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,15.41,0.0%,15.41,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,15.41,0.0%,15.41,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2.00,30.82,0.0%,15.41
"HVP10301 (10x30x1 MERV10 High Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,12,100.92,0.0%,8.41,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,12.00,100.92,0.0%,8.41
"HVP11351SPC (11x35x1 MERV10 Standard Capacity Pleat)",35,509.25,0.1%,14.55,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,35,509.25,0.1%,14.55,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,35,509.25,0.0%,14.55,105.00,1527.75,0.0%,14.55
"HVP11381SPC (11.5 x 38.5 x 1 MERV10 Standard Capacity Pleat)",44,709.28,0.1%,16.12,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,44,709.28,0.1%,16.12,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,44,709.28,0.0%,16.12,132.00,2127.84,0.0%,16.12
"HVP12121 (12x12x1 MERV10 High Capacity Pleat)",0.00,0.00,0.0%,0.00,60,535.80,0.0%,8.93,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,48,428.64,0.0%,8.93,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,108.00,964.44,0.0%,8.93
"HVP12122 (12x12x2 MERV10 High Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4,24.12,0.0%,6.03,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,12,75.96,0.0%,6.33,4,24.12,0.0%,6.03,0.00,0.00,0.0%,0.00,4,24.12,0.0%,6.03,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4,24.12,0.0%,6.03,28.00,172.44,0.0%,6.16
"HVP12201 (12x20x1 MERV10 High Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,10.20,0.0%,5.10,167,930.30,0.1%,5.57,0.00,0.00,0.0%,0.00,26,135.72,0.0%,5.22,0.00,0.00,0.0%,0.00,2,10.20,0.0%,5.10,50,269.40,0.0%,5.39,0.00,0.00,0.0%,0.00,72,388.80,0.0%,5.40,72,378.72,0.0%,5.26,391.00,2123.34,0.0%,5.43
"HVP12202 (12x20x2 High Capacity Pleat (MERV 10))",7,32.41,0.0%,4.63,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,7,32.41,0.0%,4.63,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,7,32.41,0.0%,4.63,21.00,97.23,0.0%,4.63
"HVP12202XM (12x20x2 High Capacity Pleat w/Heavy Expanded Metal)",8,51.60,0.0%,6.45,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,8,51.60,0.0%,6.45,0.00,0.00,0.0%,0.00,8,53.04,0.0%,6.63,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,8,53.04,0.0%,6.63,32.00,209.28,0.0%,6.54
"HVP12241 (12x24x1 MERV10 High Capacity Pleat)",24,132.48,0.0%,5.52,25,132.64,0.0%,5.31,0.00,0.00,0.0%,0.00,49,264.81,0.0%,5.40,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,22,114.84,0.0%,5.22,49,268.96,0.0%,5.49,12,62.40,0.0%,5.20,24,132.48,0.0%,5.52,13,4.00,0.0%,0.31,22,114.84,0.0%,5.22,240.00,1227.45,0.0%,5.11
"HVP12242 (12x24x2 MERV10 High Capacity Pleat)",136,818.34,0.1%,6.02,30,166.12,0.0%,5.54,167,1095.97,0.1%,6.56,161,965.98,0.1%,6.00,11,66.54,0.0%,6.05,147,1014.22,0.1%,6.90,169,978.74,0.1%,5.79,237,1397.93,0.2%,5.90,192,1234.03,0.1%,6.43,89,551.31,0.1%,6.19,245,1527.76,0.2%,6.24,340,2008.05,0.1%,5.91,1924.00,11824.99,0.1%,6.15
"HVP12242XM (12x24x2  High Capacity Pleat w/Heavy Expanded Metal)",20,121.60,0.0%,6.08,72,457.20,0.0%,6.35,87,550.10,0.0%,6.32,168,1057.20,0.1%,6.29,0.00,0.00,0.0%,0.00,2,22.78,0.0%,11.39,100,627.26,0.0%,6.27,214,1344.01,0.1%,6.28,177,1119.96,0.1%,6.33,0.00,0.00,0.0%,0.00,111,700.26,0.1%,6.31,164,1049.48,0.1%,6.40,1115.00,7049.85,0.0%,6.32
"HVP12244 (12x24x4 MERV10 High Capacity Pleat)",14,138.00,0.0%,9.86,130,1241.50,0.1%,9.55,68,588.15,0.0%,8.65,188,1655.24,0.1%,8.80,9,91.98,0.0%,10.22,104,1091.95,0.1%,10.50,84,745.02,0.1%,8.87,175,1418.50,0.2%,8.11,194,1722.11,0.2%,8.88,84,882.60,0.1%,10.51,91,710.62,0.1%,7.81,150,1270.51,0.1%,8.47,1291.00,11556.18,0.1%,8.95
"HVP12244XM (12x24x4 High Capacity Pleat w/Heavy Expanded Metal)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,10,103.70,0.0%,10.37,0.00,0.00,0.0%,0.00,1,13.54,0.0%,13.54,78,806.22,0.1%,10.34,8,82.96,0.0%,10.37,0.00,0.00,0.0%,0.00,6,60.90,0.0%,10.15,1,13.54,0.0%,13.54,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,104.00,1080.86,0.0%,10.39
"HVP12251 (12x25x1 MERV10 High Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,12,68.76,0.0%,5.73,12.00,68.76,0.0%,5.73
"HVP12252SPC (12x25x2 MERV10 High Capacity Pleat)",6,101.82,0.0%,16.97,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,6,101.82,0.0%,16.97,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,6,101.82,0.0%,16.97,18.00,305.46,0.0%,16.97
"HVP12341XM-SP (12x34x1 Special High Capacity Pleat w/Heavy Expanded Metal)",2,35.86,0.0%,17.93,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,35.86,0.0%,17.93,0.00,0.00,0.0%,0.00,2,36.96,0.0%,18.48,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,36.96,0.0%,18.48,8.00,145.64,0.0%,18.21
"HVP14141 (14x14x1 MERV10 High Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,48,311.52,0.0%,6.49,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,48.00,311.52,0.0%,6.49
"HVP14201 (14x20x1 MERV10 High Capacity Pleat)",0.00,0.00,0.0%,0.00,24,130.80,0.0%,5.45,0.00,0.00,0.0%,0.00,9,53.28,0.0%,5.92,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,48,269.76,0.0%,5.62,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,81.00,453.84,0.0%,5.60
"HVP14241 (14x24x1 MERV10 High Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,25,230.47,0.0%,9.22,30,275.70,0.0%,9.19,48,423.36,0.0%,8.82,1,19.03,0.0%,19.03,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,61,538.03,0.1%,8.82,24,211.44,0.0%,8.81,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,189.00,1698.03,0.0%,8.98
"HVP14251 (14x25x1 MERV10 High Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,12.66,0.0%,6.33,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2.00,12.66,0.0%,6.33
"HVP14252 (14x25x2 MERV10 High Capacity Pleat)",2,13.30,0.0%,6.65,0.00,0.00,0.0%,0.00,5,84.70,0.0%,16.94,3,21.54,0.0%,7.18,0.00,0.00,0.0%,0.00,5,84.70,0.0%,16.94,0.00,0.00,0.0%,0.00,2,13.30,0.0%,6.65,5,84.70,0.0%,16.94,0.00,0.00,0.0%,0.00,108,718.20,0.1%,6.65,2,13.30,0.0%,6.65,132.00,1033.74,0.0%,7.83
"HVP14301 (14x30x1 MERV10 High Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,12,112.68,0.0%,9.39,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,12.00,112.68,0.0%,9.39
"HVP14302XM (14x30x2 High Capacity Pleat w/Heavy Expanded Metal)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,22.05,0.0%,22.05,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,22.05,0.0%,22.05,2.00,44.10,0.0%,22.05
"HVP14302XM-SP (14x30x2 Special High Capacity Pleat w/Heavy Expanded Metal)",1,20.95,0.0%,20.95,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,20.95,0.0%,20.95,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2.00,41.90,0.0%,20.95
"HVP15201 (15x20x1 MERV10 High Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,24,130.32,0.0%,5.43,48,282.24,0.0%,5.88,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,24,130.32,0.0%,5.43,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,96.00,542.88,0.0%,5.66
"HVP15202 (15x20x2 MERV10 High Capacity Pleat)",0.00,0.00,0.0%,0.00,8,38.16,0.0%,4.77,36,227.16,0.0%,6.31,6,39.72,0.0%,6.62,0.00,0.00,0.0%,0.00,8,38.16,0.0%,4.77,0,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,6,33.48,0.0%,5.58,38,223.32,0.0%,5.88,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,102.00,600.00,0.0%,5.88
"HVP15241XM (15x24x1  High Capacity Pleat w/Heavy Expanded Metal)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,11.87,0.0%,11.87,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1.00,11.87,0.0%,11.87
"HVP15271SP (15x27x1 MERV10 Special High Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,116,2045.08,0.1%,17.63,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,116.00,2045.08,0.0%,17.63
"HVP15302SP (15x30x2 MERV10 Special High Capacity Pleat)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,18.82,0.0%,18.82,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1.00,18.82,0.0%,18.82
